record_id,estudio,idioma,fuente_del_idioma,version_inglesa,veredicto,pmid,revista,titulo
Re500315433,36,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2500107739,A Randomized Controlled Trial of Bacteriophage Cocktail Therapy for Multidrug-Resistant Gram-Negative Ventilator-Associa
R91ba44e4e5,37,eng,Europe PMC (campo language),,elegible,41589298,Clinical Medicine Insights: Case Reports ,Pan-Resistant Pseudomonas aeruginosa Septic Shock in a Critically Ill Patient: A Case Report.
R02b1e109ec,38,eng,Europe PMC (campo language),,elegible,34696331,Viruses,Phage Therapy Experience at the Eliava Phage Therapy Center: Three Cases of Bacterial Persistence.
R146b3e2f13,39,eng,Europe PMC (campo language),,elegible,,Antibiotics,Adaptive Phage Therapy for the Prevention of Recurrent Nosocomial Pneumonia: Novel Protocol Description and Case Series
R5b72edadd2,40,eng,Europe PMC (campo language),,elegible,37409241,Infection and drug resistance,Refractory Pseudomonas aeruginosa Bronchopulmonary Infection After Lung Transplantation for Common Variable Immunodefici
R7e46934a02,41,eng,Europe PMC (campo language),,elegible,38302552,Scientific reports,Optimized preparation pipeline for emergency phage therapy against Pseudomonas aeruginosa at Yale University.
R35b74982e8,42,eng,Europe PMC (campo language),,elegible,41479406,mLife,Phage therapy of perinephric abscess in kidney transplantation recipients caused by drug-resistant Pseudomonas aeruginos
R2105e151c4,43,eng,Europe PMC (campo language),,elegible,42263718,The Lancet. Infectious diseases,Calciphylaxis complicated by NDM-1-producing Pseudomonas aeruginosa: first experience with cefepime-zidebactam alongside
Rdcfed12d81,44,eng,Europe PMC (campo language),,elegible,41565011,The Journal of pediatrics,Successful Bacteriophage Treatment of a Recalcitrant Intra-Abdominal Infection Caused by Multidrug-Resistant Pseudomonas
R786d185312,45,eng,exportacion de Scopus (brazo B) (campo de idioma),,elegible,,Infektsionnye Bolezni,Concept of individualized medicine based on personalized phage therapy for intensive care unit patients suffering from h
Rb2ced3ce85,46,eng,Europe PMC (campo language),,elegible,28583189,"Critical care (London, England)",Use of bacteriophages in the treatment of colistin-only-sensitive Pseudomonas aeruginosa septicaemia in a patient with a
Red52d0884d,47,eng,Europe PMC (campo language),,elegible,31527029,Antimicrobial agents and chemotherapy,Bacteriophages as Adjuvant to Antibiotics for the Treatment of Periprosthetic Joint Infection Caused by Multidrug-Resist
Rcdf0cd1678,48,eng,Europe PMC (campo language),,elegible,36861092,Open forum infectious diseases,Application of Phage Therapy in a Case of a Chronic Hip-Prosthetic Joint Infection due to Pseudomonas aeruginosa: An Ita
R0785077af4,49,eng,Europe PMC (campo language),,elegible,36082999,The Journal of infectious diseases,Development of Host Immune Response to Bacteriophage in a Lung Transplant Recipient on Adjunctive Phage Therapy for a Mu
R50e1887412,50,eng,Europe PMC (campo language),,elegible,39491599,International journal of antimicrobial agents,Access to phage therapy at Hospices Civils de Lyon in 2022: Implementation of the PHAGEinLYON Clinic programme.
R663b355c69,50,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Avis-PHAGEinLYON Clinic
R79b5603bcb,51,eng,Europe PMC (campo language),,elegible,,Frontiers in Medicine,Case report: Local bacteriophage therapy for fracture-related infection with polymicrobial multi-resistant bacteria: hyd
R9c54b30733,52,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,American journal of respiratory and critical care medicine,Cystic Fibrosis Bacteriophage Study at Yale (CYPHY)
Rcea9abc521,52,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,Journal of cystic fibrosis,CYstic Fibrosis bacterioPHage study at Yale (CYPHY)
Rdd0e4fa658,52,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,Journal of cystic fibrosis,CYstic Fibrosis bacterioPHage study at Yale (CYPHY)
R995494cde1,52,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/show/NCT04684641,CYstic Fibrosis bacterioPHage Study at Yale (CYPHY)
R46ad854611,52,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,CYstic Fibrosis bacterioPHage Study at Yale (CYPHY)
R067acd0a39,53,eng,Europe PMC (campo language),,elegible,39452183,"Antibiotics (Basel, Switzerland)",Phage-Antibiotic Combination Therapy against Recurrent Pseudomonas Septicaemia in a Patient with an Arterial Stent.
Rb03837dd03,54,eng,Europe PMC (campo language),,elegible,39965256,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",Bacteriophage Therapy for Chronic Mastoiditis.
Rd343ee57dd,55,eng,Europe PMC (campo language),,elegible,,Current Urology,"Bacteriophage therapy in women with chronic recurrent cystitis caused by multidrug-resistant bacteria: A prospective, ob"
R66c7c93018,56,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/study/NCT06870409,Bacteriophages in Addition to Antibiotics for the Treatment of Patients with Infective Endocarditis
R5b4b3e9cf3,56,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Bacteriophages in Addition to Antibiotics for the Treatment of Patients With Infective Endocarditis
Rd428980732,57,eng,Europe PMC (campo language),,elegible,39861912,Viruses,Phage Therapy as a Rescue Treatment for Recurrent Pseudomonas aeruginosa Bentall Infection.
R1705a32c41,58,eng,Europe PMC (campo language),,elegible,41244966,ASM case reports,Resolution of acute rejection in a bilateral double-lung transplanted cystic fibrosis patient following phage interventi
R1add858cdd,59,eng,exportacion de Scopus (brazo A) (campo de idioma),,elegible,,Infektsionnye Bolezni,Anti-phage antibody response in phage therapy against healthcare-associated infections (HAIs)
Rd3d851640e,60,eng,Europe PMC (campo language),,elegible,30597868,Viruses,Clinical Indications and Compassionate Use of Phage Therapy: Personal Experience and Literature Review with a Focus on O
R85f6503e9a,61,eng,Europe PMC (campo language),,elegible,31207123,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Early clinical experience of bacteriophage therapy in 3 lung transplant recipients.
Rb506e81130,62,eng,Europe PMC (campo language),,elegible,36175406,Nature Communications ,Bacteriophage-antibiotic combination therapy against extensively drug-resistant Pseudomonas aeruginosa infection to allo
R436ad33f7e,63,eng,Europe PMC (campo language),,elegible,37160359,BMJ open respiratory research,"Single-arm, open-labelled, safety and tolerability of intrabronchial and nebulised bacteriophage treatment in children w"
Rb93cd3cbd9,64,eng,Europe PMC (campo language),,elegible,40975185,International journal of antimicrobial agents,Adjunctive bacteriophage therapy for refractory/resistant Pseudomonas aeruginosa infections: Bottlenecks and proposed so
Rdfeb34f4ef,65,eng,exportacion de Scopus (brazo B) (campo de idioma),,elegible,,Enfermedades Infecciosas y Microbiologia Clinica,Successful phage therapy in a patient with prosthetic joint infection; [Tratamiento exitoso con fagoterapia en una pacie
R9a7778c237,66,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/show/NCT04323475,Phage Therapy for the Prevention and Treatment of Wound Infections in Burned Patients
Rced39d2e31,66,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Phage Therapy for the Prevention and Treatment of Wound Infections in Burned Patients
Ra452a89898,67,eng,exportacion de Scopus (brazo A) (campo de idioma),,elegible,,Obshchaya Reanimatologiya,Adaptive Phage Therapy in the Treatment of Patients with Recurrent Pneumonia (Pilot Study)
R93635b599b,68,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2023-507203-55-00,"A three part randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safe"
R3bdd2fe777,69,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2022-503145-22-00,"A two part, randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safet"
R92876627c6,70,eng,Europe PMC (campo language),,elegible,,Open Forum Infectious Diseases,Compassionate Use of Bacteriophages for Failed Persistent Infections During the First 5 Years of the Israeli Phage Thera
R2e350dba66,71,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT20230701058628N1,Investigating phage therapy in the prevention of ventilator-induced bacterial pneumonia in patients admitted to the pedi
