record_id,estudio,idioma,fuente_del_idioma,version_inglesa,veredicto,pmid,revista,titulo
R49b7551b94,21,eng,Europe PMC (campo language),,elegible,30292481,The Lancet. Infectious diseases,Efficacy and tolerability of a cocktail of bacteriophages to treat burn wounds infected by Pseudomonas aeruginosa (Phago
R00267b912e,22,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,"Individual Patient Expanded Access for AB-PA01, an Investigational Anti-Pseudomonas Aeruginosa Bacteriophage Therapeutic"
Refd51ea317,23,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/study/NCT05948592,Bacteriophage Therapy TP-102 in Patients With Diabetic Foot Infection
R17a60bebc5,23,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Bacteriophage Therapy TP-102 in Patients With Diabetic Foot Infection
Rc5f05c2543,24,eng,Europe PMC (campo language),,elegible,37515541,Journal of investigative medicine high impact case reports,Bacteriophage Therapy for Pan-Drug-Resistant Pseudomonas aeruginosa in Two Persons With Cystic Fibrosis.
R8a3bc1100e,25,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/show/NCT04787250,Bacteriophage Therapy in Patients With Prosthetic Joint Infections
R685eac0bf9,25,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Bacteriophage Therapy in Patients With Prosthetic Joint Infections
R154a4d73a3,26,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/show/NCT05269134,Bacteriophage Therapy in Patients With Prosthetic Joint Infections (PJI)
Rcdf346a99e,26,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Bacteriophage Therapy in Patients With Prosthetic Joint Infections (PJI)
R87db0a0109,27,eng,Europe PMC (campo language),,elegible,37369702,Nature communications,Personalized aerosolised bacteriophage treatment of a chronic lung infection due to multidrug-resistant Pseudomonas aeru
Re06c450e37,28,eng,Europe PMC (campo language),,elegible,40639454,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,A feasibility study for personalized phage therapy against drug-resistant bacteria in Japan.
R179a877749,29,eng,Europe PMC (campo language),,elegible,39740667,"Med (New York, N.Y.)",Randomized double-blind study on safety and tolerability of TP-102 phage cocktail in patients with infected and non-infe
R73ebf766af,29,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/show/NCT04803708,Bacteriophage Therapy TP-102 in Diabetic Foot Ulcers
R2298493744,29,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Bacteriophage Therapy TP-102 in Diabetic Foot Ulcers
R36f8e8613e,29,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,Open forum infectious diseases,Assessing the safety of TP-102 bacteriophage treatment in the management of diabetic foot infections
R71c51137b3,30,eng,Europe PMC (campo language),,elegible,41853116,ASM case reports,Clearance of hypermutator XDR Pseudomonas osteomyelitis and hardware infection with adjunctive bacteriophage therapy.
Rad7d40f6e0,31,eng,exportacion de Scopus (brazo A) (campo de idioma),,elegible,,Medicine in Microecology,Harnessing bacteriophages to combat antibiotic-resistant chronic postoperative infections: A promising case series
R6556b80259,32,eng,Europe PMC (campo language),,elegible,28992111,Journal of the Pediatric Infectious Diseases Society,Refractory Pseudomonas Bacteremia in a 2-Year-Old Sterilized by Bacteriophage Therapy.
R30e4263f97,33,eng,Europe PMC (campo language),,elegible,31437402,American journal of respiratory and critical care medicine,Bacteriophage Therapy of Ventilator-associated Pneumonia and Empyema Caused by Pseudomonas aeruginosa.
R239f702d9a,34,eng,Europe PMC (campo language),,elegible,33005701,Open forum infectious diseases,Lessons Learned From the First 10 Consecutive Cases of Intravenous Bacteriophage Therapy to Treat Multidrug-Resistant Ba
R4215a33dab,35,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,A Phase 1b/2 Trial of the Safety and Microbiological Activity of Bacteriophage Therapy in Cystic Fibrosis Subjects Colon
R8e9df36288,35,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/study/NCT05453578,A Phase 1b/2 Trial of the Safety and Microbiological Activity of Bacteriophage Therapy in Cystic Fibrosis Subjects Colon
Rf29fc741e7,35,eng,Europe PMC (campo language),,elegible,36578069,Trials,Safety and microbiological activity of phage therapy in persons with cystic fibrosis colonized with Pseudomonas aerugino
