estudio,clave,situacion,orden,record_id,tipo_informe,informe_para_extraer,informes_del_estudio,anio,revista,titulo
11,T:acasereportofbacteriophagetherapyforthetreatmentoflunginfectionduetocarbapenemre,extraible,14,R92e57101da,articulo,SI,1,2025,Scientific reports,A case report of bacteriophage therapy for the treatment of lung infection due to carbapenem-resistant Pseudomonas aeruginosa.
12,T:chronicsuppressionofamultidrugresistantpseudomonasaeruginosainprostheticjointinf,extraible,15,R4097bfc5b7,articulo,SI,1,2026,Nature communications,Chronic suppression of a multidrug-resistant Pseudomonas aeruginosa in prosthetic joint infection using personalized bacteriophage treatment.
13,T:personalizedbacteriophagetherapyforchronicbiliarytractpseudomonasaeruginosainfec,extraible,22,R1283b43e8a,articulo,SI,1,2025,hLife,Personalized bacteriophage therapy for chronic biliary tract Pseudomonas aeruginosa infections
14,T:bacteriophagetherapyforempyemacausedbycarbapenemresistantpseudomonasaeruginosa,extraible,23,R5f5c60be8e,articulo,SI,1,2022,Bioscience trends,Bacteriophage therapy for empyema caused by carbapenem-resistant Pseudomonas aeruginosa.
15,T:combinationofphagetherapyandcefiderocoltosuccessfullytreatpseudomonasaeruginosac,extraible,24,Rc16977760e,articulo,SI,1,2022,JAC-antimicrobial resistance,Combination of phage therapy and cefiderocol to successfully treat Pseudomonas aeruginosa cranial osteomyelitis.
16,T:useofphagecocktailbfc110incombinationwithceftazidimeavibactaminthetreatmentofmul,extraible,25,R0145584831,articulo,SI,1,2022,Frontiers in medicine,Use of Phage Cocktail BFC 1.10 in Combination With Ceftazidime-Avibactam in the Treatment of Multidrug-Resistant Pseudomonas aeruginosa Femur Osteomyelitis-A Case Report.
17,T:successfultreatmentofapatientwithchronicbronchiectasisusinganinducednativephagec,extraible,29,Re9d81705c2,articulo,SI,1,2025,Cureus,Successful Treatment of a Patient With Chronic Bronchiectasis Using an Induced Native Phage Cocktail: A Case Report.
18,T:bacteriophagetherapyinclinicalpracticecasestudiesofpseudomonasaeruginosainfectio,extraible,30,Raf45c3cf1c,articulo,SI,1,2026,"Journal of chemotherapy (Florence, Italy)",Bacteriophage therapy in clinical practice: case studies of Pseudomonas aeruginosa infections.
19,T:neutralizingantibodiesafternebulizedphagetherapyincysticfibrosispatients,extraible,35,Rff26853b4a,articulo,SI,1,2024,"Med (New York, N.Y.)",Neutralizing antibodies after nebulized phage therapy in cystic fibrosis patients.
20,T:adjunctivephagetherapyimprovesantibiotictreatmentofventilatorassociatedpneumonia,extraible,36,R5934512026,articulo,SI,1,2025,Nature Communications ,Adjunctive phage therapy improves antibiotic treatment of ventilator-associated-pneumonia with Pseudomonas aeruginosa.
21,NCT02116010,extraible,38,Rc27a7629de,ficha de registro,no,3,,,Evaluation of phage therapy for the treatment of Pseudomonas aeruginosa wound infections in burned patients (Phase I-II clinical trial)
21,NCT02116010,extraible,40,Ra2af797394,ficha de registro,no,3,2015,,Evaluation of Phage Therapy for the Treatment of Escherichia Coli and Pseudomonas Aeruginosa Wound Infections in Burned Patients
21,NCT02116010,extraible,54,R49b7551b94,articulo,SI,3,2019,The Lancet. Infectious diseases,"Efficacy and tolerability of a cocktail of bacteriophages to treat burn wounds infected by Pseudomonas aeruginosa (PhagoBurn): a randomised, controlled, double-blind phase 1/2 trial."
22,NCT03395743,solo-registro,39,R00267b912e,ficha de registro,SI,1,,,"Individual Patient Expanded Access for AB-PA01, an Investigational Anti-Pseudomonas Aeruginosa Bacteriophage Therapeutic"
23,NCT05948592,solo-registro,46,Refd51ea317,ficha de registro,SI,2,2023,https://clinicaltrials.gov/study/NCT05948592,Bacteriophage Therapy TP-102 in Patients With Diabetic Foot Infection
23,NCT05948592,solo-registro,126,R17a60bebc5,ficha de registro,no,2,2023,,Bacteriophage Therapy TP-102 in Patients With Diabetic Foot Infection
