Código,Motivo,Por título,Por resumen,Total
ORG,"Organismo distinto de *P. aeruginosa*, sin subgrupo separable",3031,65,3096
REV,"Revision narrativa o comentario, sin datos primarios propios",2807,64,2871
SEC,Sintesis secundaria (revision sistematica o scoping),84,5,89
LAB,"Trabajo de laboratorio, preclinico o de modelizacion; sin pacientes tratados",4062,18,4080
VET,"Aislados o infeccion veterinaria, no humana",838,0,838
OFF,"No evalua fagoterapia en pacientes (encuesta, epidemiologia, prensa, otra terapia)",2634,40,2674
IDI,Informe no redactado en inglés ni en español (enmienda),0,35,35
,**Total**,13434,227,13661
