id,estado,pmcid,url,revista
EST-034,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://academic.oup.com/ofid/article-pdf/7/9/ofaa389/33872731/ofaa389.pdf,Open forum infectious diseases
EST-038,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://www.mdpi.com/1999-4915/13/10/1901/pdf?version=1632361337,Viruses
EST-043,sin copia legal en abierto (Unpaywall),,,The Lancet. Infectious diseases
EST-044,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://www.jpeds.com/article/S0022-3476(26)00033-8/pdf,The Journal of pediatrics
EST-045,sin copia legal en abierto (Unpaywall),,,Infektsionnye Bolezni
EST-049,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://academic.oup.com/jid/article-pdf/227/3/311/49090233/jiac368.pdf,The Journal of infectious diseases
EST-050,abierto pero fallo la descarga: no es un PDF (2748 bytes),,https://doi.org/10.1016/j.ijantimicag.2024.107372,International journal of antimicrobial agents
EST-054,sin copia legal en abierto (Unpaywall),,,Otology & neurotology : official publication of the American
EST-059,abierto pero fallo la descarga: no es un PDF (128479 bytes),,https://zenodo.org/record/1997795,Infektsionnye Bolezni
EST-060,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://www.mdpi.com/1999-4915/11/1/18/pdf?version=1545984676,Viruses
EST-061,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajt.15503,American journal of transplantation : official journal of th
EST-064,sin copia legal en abierto (Unpaywall),,,International journal of antimicrobial agents
EST-065,sin copia legal en abierto (Unpaywall),,,Enfermedades Infecciosas y Microbiologia Clinica
EST-067,descargado (Unpaywall),,https://www.reanimatology.com/rmt/article/download/2153/1568,Obshchaya Reanimatologiya
EST-070,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://academic.oup.com/ofid/advance-article-pdf/doi/10.1093/ofid/ofad221/50046439/ofad221.pdf,Open Forum Infectious Diseases
EST-073,sin copia legal en abierto (Unpaywall),,,The international journal of lower extremity wounds
EST-075,descargado (Unpaywall),,https://www.mimmun.ru/mimmun/article/download/2012/1358,Medical Immunology (Russia)
EST-076,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://academic.oup.com/cid/article-pdf/76/3/e1463/49125864/ciac694.pdf,Clinical infectious diseases : an official publication of th
EST-079,descargado (Unpaywall),,https://www.med-sovet.pro/jour/article/download/9533/8190,Meditsinskiy Sovet
EST-081,sin copia legal en abierto (Unpaywall),,,Current opinion in infectious diseases
EST-083,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://www.mdpi.com/1999-4915/13/8/1543/pdf?version=1628144548,Viruses
EST-089,sin copia legal en abierto (Unpaywall),,,Voprosy Prakticheskoi Pediatrii
EST-096,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://www.mdpi.com/2079-6382/10/6/627/pdf?version=1621924381,Antibiotics
EST-098,sin copia legal en abierto (Unpaywall),,,The Journal of heart and lung transplantation : the official
EST-100,sin copia legal en abierto (Unpaywall),,,Infektsionnye Bolezni
EST-105,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://academic.oup.com/jac/article-pdf/73/10/2901/25770367/dky263.pdf,The Journal of antimicrobial chemotherapy
EST-109,descargado (Unpaywall),,https://nsicu.ru/uploads/attachment/file/938/nozocomia-pnevmo_2016_NatzRuk_Gelfand_.pdf,Russian Journal of Anesthesiology and Reanimatology /Anestez
EST-110,sin copia legal en abierto (Unpaywall),,,"Methods in molecular biology (Clifton, N.J.)"
EST-115,sin copia legal en abierto (Unpaywall),,,Future microbiology
EST-120,descargado (Unpaywall),,https://www.med-sovet.pro/jour/article/download/6489/5879,Meditsinskiy Sovet
EST-122,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://bmjopen.bmj.com/content/bmjopen/12/12/e065401.full.pdf,BMJ open
EST-123,abierto pero fallo la descarga: no es un PDF (149553 bytes),,https://doi.org/10.15789/2220-7619-ioi-2081,Russian Journal of Infection and Immunity
EST-125,sin copia legal en abierto (Unpaywall),,,Vestnik otorinolaringologii
EST-126,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://doi.org/10.4103/ijpam.ijpam_1_24,International Journal of Pediatrics and Adolescent Medicine 
EST-127,descargado (Unpaywall),,http://dx.doi.org/10.34883/pi.2024.14.3.006,Reproductive Health Eastern Europe
EST-128,descargado (Unpaywall),,https://content.ugeskriftet.dk/sites/default/files/V09230617_WEB.pdf,Ugeskrift for laeger
EST-131,sin copia legal en abierto (Unpaywall),,,International journal of antimicrobial agents
EST-136,sin copia legal en abierto (Unpaywall),,,Vestnik otorinolaringologii
EST-139,abierto pero fallo la descarga: no es un PDF (6897 bytes),,https://doi.org/10.17116/rosakush201818475,Russian Bulletin of Obstetrician-Gynecologist
EST-140,sin copia legal en abierto (Unpaywall),,,The Journal of heart and lung transplantation : the official
EST-144,descargado (Unpaywall),,https://gynecology.orscience.ru/2079-5831/article/download/88846/pdf,Gynecology
EST-145,abierto pero fallo la descarga: no es un PDF (26867 bytes),,https://doi.org/10.18484/2305-0047.2022.4.401,Novosti Khirurgii
EST-147,sin copia legal en abierto (Unpaywall),,,Pirogov Russian Journal of Surgery
EST-151,sin copia legal en abierto (Unpaywall),,,"Urologiia (Moscow, Russia : 1999)"
EST-163,sin copia legal en abierto (Unpaywall),,,Voprosy Prakticheskoi Pediatrii
EST-164,abierto pero fallo la descarga: HTTP Error 403: Forbidden,,https://www.mdpi.com/1999-4915/11/10/891/pdf?version=1569316224,Viruses
EST-165,sin copia legal en abierto (Unpaywall),,,The international journal of lower extremity wounds
EST-166,sin copia legal en abierto (Unpaywall),,,Akusherstvo i Ginekologiya (Russian Federation)
EST-167,sin copia legal en abierto (Unpaywall),,,The international journal of lower extremity wounds
EST-168,descargado (Unpaywall),,http://dx.doi.org/10.34883/pi.2024.14.2.005,Reproductive Health Eastern Europe
EST-170,abierto pero fallo la descarga: no es un PDF (2729 bytes),,https://doi.org/10.1016/j.avsurg.2024.100302,Annals of Vascular Surgery - Brief Reports and Innovations
EST-175,sin copia legal en abierto (Unpaywall),,,Vestnik otorinolaringologii
EST-176,descargado (Unpaywall),,https://www.gynecology.su/jour/article/download/779/820,"Obstetrics, Gynecology and Reproduction"
EST-178,descargado (Unpaywall),,https://doi.org/10.36740/wlek202106129,"Wiadomosci lekarskie (Warsaw, Poland : 1960)"
EST-179,sin copia legal en abierto (Unpaywall),,,Urologiia
EST-180,descargado (Unpaywall),,https://intensive-care.ru/index.php/acc/article/download/431/2681,Annals of Critical Care
EST-183,abierto pero fallo la descarga: HTTP Error 500: Internal Server Error,,https://doi.org/10.32364/2587-6821-2025-9-12-5,Russian Medical Inquiry
EST-184,abierto pero fallo la descarga: no es un PDF (2664 bytes),,https://doi.org/10.1016/j.jdcr.2026.06.010,JAAD Case Reports
EST-185,abierto pero fallo la descarga: no es un PDF (2697 bytes),,https://doi.org/10.1016/j.bjps.2026.06.028,"Journal of Plastic, Reconstructive and Aesthetic Surgery"
EST-189,sin copia legal en abierto (Unpaywall),,,Pediatriya - Zhurnal im G.N. Speranskogo
EST-193,sin copia legal en abierto (Unpaywall),,,Russian Bulletin of Obstetrician-Gynecologist
EST-194,sin copia legal en abierto (Unpaywall),,,Russian Journal of Human Reproduction
EST-195,sin copia legal en abierto (Unpaywall),,,Akusherstvo i Ginekologiya (Russian Federation)
EST-196,sin copia legal en abierto (Unpaywall),,,Urologiia
EST-197,descargado (Unpaywall),,https://gynecology.orscience.ru/2079-5831/article/download/34982/pdf,Gynecology
EST-198,sin copia legal en abierto (Unpaywall),,,Stomatologiia
EST-200,descargado (Unpaywall),,http://dx.doi.org/10.34883/pi.2024.14.2.003,Reproductive Health Eastern Europe
EST-206,sin copia legal en abierto (Unpaywall),,,Vestnik otorinolaringologii
EST-207,sin copia legal en abierto (Unpaywall),,,"Europace : European pacing, arrhythmias, and cardiac electro"
EST-208,sin copia legal en abierto (Unpaywall),,,European journal of cardio-thoracic surgery : official journ
EST-219,sin copia legal en abierto (Unpaywall),,,Pirogov Russian Journal of Surgery
