folder,filename,size_bytes,sha1_16,identifiers,id_source,download_url,in_corpus_as
pubmed,Experimental phage evolution results in expanded host ranges against antibiotic resistant Klebsiella pneumoniae isolates.pdf,3342605,c0ee7c7b82c7a8fe,doi:10.1038/s41467-025-66062-7,pdf-metadata,,
pubmed,"Genome-wide co-occurrence patterns link mobile genetic elements, antimicrobial resistance and defense systems in Pseudomonas aeruginosa.pdf",3005882,defebb874f28f077,doi:10.1186/s12864-026-12585-2,pdf-metadata,,
pubmed,Genomic characterization of an extensively drug-resistant high-risk Pseudomonas aeruginosa ST1971 harbouring tmexCD2-toprJ2 from a Vietnamese patient with urinary tract infection.pdf,1156205,52ab7085da96c99c,doi:10.1016/j.jgar.2026.03.007,pdf-metadata,,
pubmed,Genomic Characterization of Imipenem- and Imipenem-Relebactam-Resistant Clinical Isolates of Pseudomonas aeruginosa.pdf,1976875,1c26457aaccf2d0b,doi:10.1128/msphere.00836-21,pdf-metadata,,
pubmed,Genomic Insights into and Lytic Potential of Native Bacteriophages M8-2 and M8-3 Against Clinically Relevant Multidrug-Resistant Pseudomonas aeruginosa.pdf,5489232,3964c4191b552485,doi:10.3390/antibiotics14020110,page-1-text,,
pubmed,Identification and characterization of phage protein and its activity against two strains of multidrug-resistant Pseudomonas aeruginosa.pdf,1803048,19adb3e4f3510506,doi:10.1038/s41598-019-50030-5,pdf-metadata,,
pubmed,Impact of Pseudomonas aeruginosa biofilm exopolysaccharide composition on bacteriophage and bacteriophage-antibiotic combination activity.pdf,2900855,bbb4d56cedd839fd,doi:10.1128/aac.00925-25,pdf-metadata,,
pubmed,In Vitro Newly Isolated Environmental Phage Activity against Biofilms Preformed by Pseudomonas aeruginosa from Patients with Cystic Fibrosis.pdf,3727556,f797235bf8b4c15f,doi:10.3390/microorganisms903 doi:10.3390/microorganisms9030478,page-1-text,,
pubmed,Inhalable bacteriophage endolysins - a novel therapeutic strategy for drug-resistant bacterial pulmonary infections - a comprehensive review.pdf,1719788,ea05422854b45e23,doi:10.1080/07853890.2026.2681295,page-1-text,,
pubmed,Inovirus-Encoded Peptides Induce Specific Toxicity in Pseudomonas aeruginosa.pdf,2012035,e8a6864e5f76f98c,doi:10.3390/v17010112,page-1-text,,
pubmed,Isolation and characterization of a novel bacteriophage PUTH1 active against Pseudomonas aeruginosa.pdf,1869618,e57e03db2aa2dbbf,doi:10.1186/s12985-025-02859-8,pdf-metadata,,
pubmed,Isolation and characterization of lytic bacteriophages from sewage at an egyptian tertiary care hospital against methicillin-resistant Staphylococcus aureus clinical isolates.pdf,1743997,c89adaa5da49813e,doi:10.1016/j.sjbs.2022.03.019,page-1-text,,
pubmed,Isolation and Genomic Characterization of Lytic Caudoviricetes Bacteriophage vB_Pae_YuaWU01 Targeting Multidrug-Resistant Pseudomonas aeruginosa from Hospital Sewage in Southern Thailand.pdf,13778533,a68d77e1d2dccfe6,doi:10.3390/life16050734,page-1-text,,
pubmed,"Isolation, Characterization and in vitro Evaluation of Specific Bacteriophages Targeting Extensive Drug Resistance Strains of Pseudomonas aeruginosa Isolated from Septic Burn Wounds.pdf",1796044,c46faf1b9768fa57,doi:10.3947/ic.2021.0132,page-1-text,,
pubmed,Lytic Bacteriophage Screening Strategies for Multidrug-Resistant Bloodstream Infections in a Burn Intensive Care Unit.pdf,1262211,c5321359346b0027,doi:10.12659/msm.917706,page-1-text,,
pubmed,Management of Diabetic Foot Infections Using Phage Therapy.pdf,1702384,b6e0afd54402e4ed,doi:10.2147/idr.s577526,page-1-text,,
pubmed,Metagenomic Sequencing and Reverse Transcriptase PCR Reveal That Mobile Phones and Environmental Surfaces Are Reservoirs of Multidrug-Resistant Superbugs and SARS-CoV-2.pdf,5258962,b3a2dbcd3108615c,doi:10.3389/fcimb.2022.806077,page-1-text,,
pubmed,Molecular epidemiological study of Pseudomonas aeruginosa strains isolated from hospitals in Brazil by MLST and CRISPR-Cas system analysis.pdf,1315795,157a60c8684458a9,doi:10.1007/s00438-025-02239-5,pdf-metadata,,
pubmed,Novel Bacteriophages Show Activity against Selected Australian Clinical Strains of Pseudomonas aeruginosa.pdf,5074071,d30f9ba4fae743c1,doi:10.3390/microorganisms10020210,page-1-text,,
pubmed,Personalized inhaled bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa in cystic fibrosis.pdf,13352899,62e67b703b3dc991,doi:10.1038/s41591-025-03678-8,pdf-metadata,,Chan2025
pubmed,Phage Therapy - An Alternative Approach to Combating Multidrug-Resistant Bacterial Infections in Cystic Fibrosis.pdf,624957,1fc6782915aa1158,doi:10.3390/ijms25158321,page-1-text,,
pubmed,Phage therapy - an alternative treatment modality for MDR bacterial infections.pdf,1581874,763aeac6aaf19609,doi:10.1080/23744235.2024.2379492,page-1-text,,
pubmed,Phage Therapy as an Alternative Strategy Against Pseudomonas aeruginosa - A Narrative Review of Preclinical and Clinical Evidence.pdf,907793,cfdf010d6bb9ea0a,doi:10.1002/(issn doi:10.1002/mbo3.70303,pdf-metadata,,
pubmed,Phage Therapy in a Burn Patient Colonized with Extensively Drug-Resistant Pseudomonas aeruginosa Responsible for Relapsing Ventilator-Associated Pneumonia and Bacteriemia.pdf,2070817,282bb42672d1711d,doi:10.3390/v16071080,page-1-text,,Teney2024
pubmed,Phage to ESKAPE - Personalizing Therapy for MDR Infections-A Comprehensive Clinical Review.pdf,806473,3dc9d5088f5c7d67,doi:10.3390/pathogens14101011,page-1-text,,
pubmed,Phage-Antibiotic Synergy Enhances Biofilm Eradication and Survival in a Zebrafish Model of Pseudomonas aeruginosa Infection.pdf,3200590,b04c00bcdfc52d82,doi:10.3390/ijms26115337,page-1-text,,
pubmed,Phage-Encoded Antimicrobial Peptide gp28 Demonstrates LL-37-Like Antimicrobial Activity Against Multidrug-Resistant Pseudomonas aeruginosa.pdf,860541,57b7e510a10fead1,doi:10.1089/phage.2024.0009,page-1-text,,
