id,situacion,anio,revista,titulo,n_informes,diseno,n_brazo,procedencia,texto_completo,clave_de_estudio
EST-115,extraible,2017,Future microbiology,Antiphage activity of sera during phage therapy in relation to its outcome.,1,prospective cohort,62,Polonia,no,T:antiphageactivityofseraduringphagetherapyinrelationtoitsoutcome
EST-116,extraible,2019,Viruses,Processing Phage Therapy Requests in a Brussels Military Hospital: Lessons Identified.,1,retrospective cohort,15,Belgica,sí,T:processingphagetherapyrequestsinabrusselsmilitaryhospitallessonsidentified
EST-117,extraible,2021,Folia microbiologica,Anti-phage serum antibody responses and the outcome of phage therapy.,1,prospective cohort,25,Polonia,sí,T:antiphageserumantibodyresponsesandtheoutcomeofphagetherapy
EST-118,extraible,2021,The Lancet. Infectious diseases,"Intravesical bacteriophages for treating urinary tract infections in patients undergoing transurethral resection of the prostate: a randomised, placebo-controlled, double-blind clinical trial.",5,RCT,,Georgia,no,NCT03140085
EST-119,solo-registro,2021,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT20111224008507N6,Phage therapy for prevention of secondary bacterial pneumonia in COVID-19,1,,,,no,T:phagetherapyforpreventionofsecondarybacterialpneumoniaincovid19
EST-121,extraible,2022,Antibiotics,Do Anti-Phage Antibodies Persist after Phage Therapy? A Preliminary Report,1,,,,sí,T:doantiphageantibodiespersistafterphagetherapyapreliminaryreport
EST-122,extraible,2022,BMJ open,"Standardised treatment and monitoring protocol to assess safety and tolerability of bacteriophage therapy for adult and paediatric patients (STAMP study): protocol for an open-label, single-arm trial.",1,non-randomised trial,,Australia,no,T:standardisedtreatmentandmonitoringprotocoltoassesssafetyandtolerabilityofbacteri
EST-123,extraible,2023,Russian Journal of Infection and Immunity,INFLUENCE OF INHALED BACTERIOPHAGE THERAPY ON ORAL MUCOSAL IMMUNITY IN CHILDREN WITH ACUTE TONSILLITIS; [ВЛИЯНИЕ ИНГАЛЯЦИОННОЙ БАКТЕРИОФАГТЕРАПИИ НА МУКОЗАЛЬНЫЙ ИММУНИТЕТ РОТОВОЙ ПОЛОСТИ У ДЕТЕЙ С ОСТРЫМ ТОНЗИЛЛИТОМ],1,non-randomised trial,105,Rusia,no,T:influenceofinhaledbacteriophagetherapyonoralmucosalimmunityinchildrenwithacuteto
EST-124,extraible,2023,Viruses,Successful Bacteriophage-Antibiotic Combination Therapy against Multidrug-Resistant Pseudomonas aeruginosa Left Ventricular Assist Device Driveline Infection.,1,case report,1,,sí,T:successfulbacteriophageantibioticcombinationtherapyagainstmultidrugresistantpseu
EST-126,extraible,2024,International Journal of Pediatrics and Adolescent Medicine ,Application of bacteriophage therapy in the treatment of children with acute tonsillitis,2,RCT,212,,no,T:applicationofbacteriophagetherapyinthetreatmentofchildrenwithacutetonsillitis
EST-129,extraible,2025,Antibiotics,Phage Therapy for Orthopaedic Infections: The First Three Cases from the United Kingdom,1,,,Reino Unido,sí,T:phagetherapyfororthopaedicinfectionsthefirstthreecasesfromtheunitedkingdom
EST-130,extraible,2025,Nature communications,Prolonged disease remission of the chronic immunological skin disorder hidradenitis suppurativa with adjunctive bacteriophage therapy.,1,,,,sí,T:prolongeddiseaseremissionofthechronicimmunologicalskindisorderhidradenitissuppur
EST-131,extraible,2025,International journal of antimicrobial agents,Results of TOR001: An open-label single patient study using targeted bacteriophage therapy for the treatment of a chronic urinary tract infection,1,case report,1,,no,T:resultsoftor001anopenlabelsinglepatientstudyusingtargetedbacteriophagetherapyfor
EST-132,extraible,2026,Indian Journal of Critical Care Medicine,Evaluation of the Potential Efficacy of Bacteriophage Therapy for the Management of Pressure Ulcers and Its Comparison to Conventional Therapy: A Randomized Controlled Trial,2,RCT,76,India,sí,T:evaluationofthepotentialefficacyofbacteriophagetherapyforthemanagementofpressure
EST-133,solo-resumen,2016,"European urology, supplements",Phage therapy for the treatment for urinary tract infection: results of in-vitro screenings and in-vivo application using commercially available bacteriophage cocktails,1,case series,,Georgia,no,T:phagetherapyforthetreatmentforurinarytractinfectionresultsofinvitroscreeningsand
EST-134,extraible,2018,Frontiers in microbiology,Adapted Bacteriophages for Treating Urinary Tract Infections.,2,case series,,Georgia,sí,T:adaptedbacteriophagesfortreatingurinarytractinfections
EST-135,extraible,2020,Frontiers in Medicine,The Potential Innovative Use of Bacteriophages Within the DAC® Hydrogel to Treat Patients With Knee Megaprosthesis Infection Requiring “Debridement Antibiotics and Implant Retention” and Soft Tissue Coverage as Salvage Therapy,1,,,Francia,sí,T:thepotentialinnovativeuseofbacteriophageswithinthedachydrogeltotreatpatientswith
EST-137,solo-registro,2026,https://clinicaltrials.gov/study/NCT07698002,"""Debridement PhagE AnTibiotics for PJI""",2,,,,no,NCT07698002
EST-138,solo-registro,,,PHRC-N/2015/AS-01 - Comparison of the efficacy of standard treatment associated with phage therapy versus standard treatment plus placebo for diabetic foot ulcers infected by Staph,1,,,,no,T:phrcn2015as01comparisonoftheefficacyofstandardtreatmentassociatedwithphagetherap
EST-140,extraible,2019,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Novel bacteriophage therapy for treatment of left ventricular assist device infection.,1,case report,1,,no,T:novelbacteriophagetherapyfortreatmentofleftventricularassistdeviceinfection
EST-141,solo-registro,2020,,Bacteriophage Therapy in Tonsillitis,1,,,,no,NCT04682964
EST-143,solo-registro,2021,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2021/12/038527,Chronic non healing ulcer and bacteriophage therapy,1,,,,no,T:chronicnonhealingulcerandbacteriophagetherapy
EST-146,extraible,2023,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"A Retrospective, Observational Study of 12 Cases of Expanded-Access Customized Phage Therapy: Production, Characteristics, and Clinical Outcomes.",1,retrospective cohort,12,,sí,T:aretrospectiveobservationalstudyof12casesofexpandedaccesscustomizedphagetherapyp
EST-147,extraible,2023,Pirogov Russian Journal of Surgery,Complex surgical treatment of recurrent post-injection abscess in a patient with systemic autoimmune disease; [Комплексное хирургическое лечение рецидивирующего постинъекционного абсцесса на фоне системного аутоиммунного заболевания],1,case report,1,Rusia,no,T:complexsurgicaltreatmentofrecurrentpostinjectionabscessinapatientwithsystemicaut
EST-148,solo-registro,2023,,Phage Therapy for the Treatment of Urinary Tract Infection,1,,,,no,NCT05537519
EST-149,solo-registro,2024,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2400094545,Study to phages for prevention and treatment of difficult-to-treat resistant Pseudomonas aeruginosa infection,1,,,,no,T:studytophagesforpreventionandtreatmentofdifficulttotreatresistantpseudomonasaeru
EST-150,solo-registro,2024,,Use of Phage Therapy for Treatment of a Periprosthetic Joint Infection,1,,,,no,NCT06827041
EST-152,extraible,2025,Antibiotics,The Appearance of Antiphage Antibodies in Sera of Patients Treated with Phages,1,prospective cohort,27,Polonia,sí,T:theappearanceofantiphageantibodiesinseraofpatientstreatedwithphages
EST-153,solo-registro,2026,,"Evaluation of Safety and Efficacy of Phage Therapy for Drug-resistant Bacterial Infections: An Exploratory, Prospective Single-arm Study",1,,,,no,NCT07382271
EST-154,solo-registro,2024,https://clinicaltrials.gov/ct2/show/NCT06370598,Phase 1/2a to Assess the Safety and Tolerability of TP-122A for the Treatment of Ventilator-Associated Pneumonia,2,,,,no,NCT06370598
EST-155,solo-registro,2025,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2500099778,Efficacy and safety of bacteriophage in treating severe drug-resistant lower respiratory tract infections in children: a randomized controlled trial,1,,,,no,T:efficacyandsafetyofbacteriophageintreatingseveredrugresistantlowerrespiratorytra
EST-156,solo-registro,2025,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2024-519856-94-00,"Phase 2b Randomized, Double-Blind Study with Phage for CF Subjects with Pseudomonas Lung Infection",1,,,,no,T:phase2brandomizeddoubleblindstudywithphageforcfsubjectswithpseudomonaslunginfect
EST-157,extraible,2026,The international journal of lower extremity wounds,"A Randomized, Placebo-controlled, Double-blind Clinical Trial of Bacteriophage Cocktails in Chronic Wound Infections.",1,RCT,30,,no,T:arandomizedplacebocontrolleddoubleblindclinicaltrialofbacteriophagecocktailsinch
EST-158,solo-registro,2012,,Bacteriophage Effects on Pseudomonas Aeruginosa,1,,,,no,NCT01818206
EST-159,extraible,2022,Antibiotics,Bacteriophage-Enriched Galenic for Intrapericardial Ventricular Assist Device Infection,1,case report,1,Alemania,sí,T:bacteriophageenrichedgalenicforintrapericardialventricularassistdeviceinfection
EST-160,solo-registro,2026,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2600125813,A Randomized Controlled Trial on the Safety and Efficacy of Phage Cocktail Therapy for Multidrug-Resistant Bacterial Skin Infections,1,,,,no,T:arandomizedcontrolledtrialonthesafetyandefficacyofphagecocktailtherapyformultidr
EST-161,solo-registro,2026,,MP101 in Adults With Acute Pseudomonas Aeruginosa Pneumonia,1,,,,no,NCT07492771
EST-162,solo-registro,2026,https://trialsearch.who.int/Trial2.aspx?TrialID=KCT0011717,Phase 1 Study of MP101 in Adults With Acute Pseudomonas aeruginosa Pneumonia,1,,,,no,T:phase1studyofmp101inadultswithacutepseudomonasaeruginosapneumonia
EST-164,extraible,2019,Viruses,Bacteriophage Application for Difficult-to-treat Musculoskeletal Infections: Development of a Standardized Multidisciplinary Treatment Protocol.,1,case series,4,Belgica,no,T:bacteriophageapplicationfordifficulttotreatmusculoskeletalinfectionsdevelopmento
EST-165,extraible,2021,The international journal of lower extremity wounds,Use of Customized Bacteriophages in the Treatment of Chronic Nonhealing Wounds: A Prospective Study.,1,prospective cohort,48,,no,T:useofcustomizedbacteriophagesinthetreatmentofchronicnonhealingwoundsaprospective
EST-167,extraible,2024,The international journal of lower extremity wounds,Biological Therapy on Infected Traumatic Wounds: A Case-Control Study.,1,non-randomised trial,27,,no,T:biologicaltherapyoninfectedtraumaticwoundsacasecontrolstudy
EST-169,extraible,2024,Virus research,Safety and tolerability of bronchoscopic and nebulised administration of bacteriophage.,1,case series,2,,sí,T:safetyandtolerabilityofbronchoscopicandnebulisedadministrationofbacteriophage
EST-170,extraible,2024,Annals of Vascular Surgery - Brief Reports and Innovations,Thoracic endovascular aneurysm repair of a ruptured zone 0 mycotic thoracic aortic aneurysm,1,case report,1,,no,T:thoracicendovascularaneurysmrepairofarupturedzone0mycoticthoracicaorticaneurysm
EST-171,solo-registro,2026,https://clinicaltrials.gov/study/NCT07612605,Yiqi Huoxue Jiedu Formula Combined With Bacteriophages in the Treatment of Severe Pneumonia,2,,,,no,NCT07612605
EST-172,solo-registro,2023,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2023/11/059899,Study to assess the Safety and Efficacy of Bacteriophage in the treatment of Diabetic foot infection,1,,,,no,T:studytoassessthesafetyandefficacyofbacteriophageinthetreatmentofdiabeticfootinfe
EST-173,extraible,2016,Surgical Chronicles,Use of bacteriophages in the treatment of infected wounds in patients who have allergy to antibiotics,1,non-randomised trial,68,Ucrania,no,T:useofbacteriophagesinthetreatmentofinfectedwoundsinpatientswhohaveallergytoantib
EST-177,extraible,2021,Otolaryngologia polska = The Polish otolaryngology,"A randomized, double-blind, placebo- -controlled study to investigate the use of bacteriophages in patients with chronic rhinosinusitis with nasal polyps.",1,RCT,20,Polonia,no,T:arandomizeddoubleblindplacebocontrolledstudytoinvestigatetheuseofbacteriophagesi
EST-178,extraible,2021,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",CLINICAL AND LABORATORY JUSTIFICATION FOR USE OF POLYVALENT BACTERIOPHAGE IN TECHNIQUE OF DELAYED PRESCRIBING OF ANTIBIOTICS IN PATIENTS WITH ARS.,1,non-randomised trial,80,Ucrania,sí,T:clinicalandlaboratoryjustificationforuseofpolyvalentbacteriophageintechniqueofde
EST-181,extraible,2023,Viruses,Short-Term Outcomes of Phage-Antibiotic Combination Treatment in Adult Patients with Periprosthetic Hip Joint Infection.,1,non-randomised trial,23,Rusia,no,T:shorttermoutcomesofphageantibioticcombinationtreatmentinadultpatientswithperipro
EST-182,solo-registro,2025,,Phase 1b/2a Randomized Double-blind Study to Investigate Safety Tolerability PK PD Preliminary Efficacy of Oral Administration of SNIPR001 in Patients With Hematologic Malignancy Scheduled for Allogeneic Hematopoietic Stem-Cell Transplant Receiving FQ Prophylaxis & Harboring FQR Ecoli Pre-Transplant,1,,,,no,NCT06938867
EST-184,extraible,2026,JAAD Case Reports,Severe Darier disease complicated by recurrent multidrug-resistant cutaneous infection,1,case report,1,,no,T:severedarierdiseasecomplicatedbyrecurrentmultidrugresistantcutaneousinfection
EST-185,extraible,2026,"Journal of Plastic, Reconstructive and Aesthetic Surgery",The management of sternal mediastinitis in heart and lung transplant patients: An 8-year experience and application of reconstructive algorithm,1,retrospective cohort,10,,no,T:themanagementofsternalmediastinitisinheartandlungtransplantpatientsan8yearexperi
EST-186,solo-registro,,,"Phage4Cure-001 - A three part randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy o",1,,,,no,T:phage4cure001athreepartrandomizeddoubleblindplacebocontrolledparallelgroupsadand
EST-187,solo-registro,,,"Phage4Cure-001 - A two part, randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of",1,,,,no,T:phage4cure001atwopartrandomizeddoubleblindplacebocontrolledparallelgroupsadandmd
EST-188,solo-resumen,2020,Nephrology dialysis transplantation,Potential treatment method of recurrent urinary tract infection in postmenopausal kidney transplant recipients: the results of pilot study,1,RCT,,,no,T:potentialtreatmentmethodofrecurrenturinarytractinfectioninpostmenopausalkidneytr
EST-190,solo-registro,2026,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2600116642,Phage-Antibiotic Combination Therapy for Multidrug-Resistant Infections: a Prospective Study,1,,,,no,T:phageantibioticcombinationtherapyformultidrugresistantinfectionsaprospectivestud
EST-191,solo-registro,,,"BMX-04-002 - A Phase 2b, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate Nebulized Bacteriophage Treatment in Outpatient Adult Cystic Fibrosis (CF) Subj",1,,,,no,T:bmx04002aphase2brandomizeddoubleblindplacebocontrolledmulticenterstudytoevaluate
EST-192,solo-registro,2020,,The Effect of Supraglottic and Oropharyngeal Decontamination on the Incidence of Ventilator-associated Pneumonia,2,,,,no,NCT04325685
EST-199,extraible,2023,Frontiers in Medicine,Successful use of a phage endolysin for treatment of chronic pelvic pain syndrome/chronic bacterial prostatitis,1,case report,1,,sí,T:successfuluseofaphageendolysinfortreatmentofchronicpelvicpainsyndromechronicbact
EST-201,solo-registro,2025,https://clinicaltrials.gov/ct2/show/NCT06998043,Study With Phage for CF Subjects With Pseudomonas Lung Infection,2,,,,no,NCT06998043
EST-202,solo-registro,2025,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT20250108064318N1,The effect of Bacteriophage on Diabetic foot Ulcers,1,,,,no,T:theeffectofbacteriophageondiabeticfootulcers
EST-203,solo-registro,2006,,"A Prospective, Randomized, Double-Blind Controlled Study of WPP-201 for the Safety and Efficacy of Treatment of Venous Leg Ulcers",1,,,,no,NCT00663091
EST-204,solo-registro,2009,,Antibacterial Treatment Against Diarrhea in Oral Rehydration Solution,1,,,,no,NCT00937274
EST-205,extraible,2017,Revista Cubana de Angiología y Cirugía Vascular,Beneficios obtenidos con el empleo de bacteriófagos en el tratamiento de infecciones crónicas,1,,,,no,T:beneficiosobtenidosconelempleodebacterifagoseneltratamientodeinfeccionescrnicas
EST-207,extraible,2020,"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",Successful bacteriophage treatment of infection involving cardiac implantable electronic device and aortic graft: a Trojan horse concept.,1,case report,1,,no,T:successfulbacteriophagetreatmentofinfectioninvolvingcardiacimplantableelectronic
EST-208,extraible,2020,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Treatment of chronic left ventricular assist device infection with local application of bacteriophages.,1,case report,1,Alemania,no,T:treatmentofchronicleftventricularassistdeviceinfectionwithlocalapplicationofbact
EST-209,solo-registro,2021,,Phage Safety Retrospective Cohort Study,1,,,,no,NCT04724603
EST-210,solo-registro,2022,,"A Study Investigating the Safety, Recovery, and Pharmacodynamics of Multiple Oral Administrations of SNIPR001 in Healthy Subjects",1,,,,no,NCT05277350
EST-211,solo-registro,2022,,BActeriophages To Treat Liver Disease Eliminating Harmful Bacteria (BATTLE),1,,,,no,NCT05618418
EST-212,extraible,2022,Antibiotics,Local Treatment of Driveline Infection with Bacteriophages,1,case report,1,,sí,T:localtreatmentofdrivelineinfectionwithbacteriophages
EST-213,solo-registro,2022,,Mayo Clinic Phage Program Biobank,1,,,,no,NCT05314426
EST-214,solo-registro,2022,,Phage Safety Cohort Study,1,,,,no,NCT04650607
EST-215,solo-registro,2023,,Clinical Trial to Demonstrate the Safety and Efficacy of DUOFAG®,1,,,,no,NCT06319235
EST-216,solo-registro,2023,,Treatment Chronic UTI Post Kidney Transplant,1,,,,no,NCT05967130
EST-217,solo-registro,2024,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2024/03/064013,Evaluate the effect of bacteriophage in pressure ulcers,1,,,,no,T:evaluatetheeffectofbacteriophageinpressureulcers
EST-218,solo-registro,2025,,Biomarkers of Phage Treatment Response in NTM and Other Infections,1,,,,no,NCT07076238
EST-219,extraible,2023,Pirogov Russian Journal of Surgery,Bacteriophages in complex treatment of septic diseases of the hand; [Использование лекарственных препаратов бактериофагов в комплексном лечении гнойных заболеваний кисти],1,non-randomised trial,,Rusia,no,T:bacteriophagesincomplextreatmentofsepticdiseasesofthehand
