id,titulo,revista,anio,doi,pmid,tipo
EST-078,Efficacy of Bacteriophage Therapy in the Treatment of Diabetic Foot Ulcers: a Pilot Study from South India,International journal of diabetes in developing countries,2025,,,resumen de congreso
EST-133,Phage therapy for the treatment for urinary tract infection: results of in-vitro screenings and in-vivo application using commercially available bacteriophage cocktails,"European urology, supplements",2016,,,resumen de congreso
EST-188,Potential treatment method of recurrent urinary tract infection in postmenopausal kidney transplant recipients: the results of pilot study,Nephrology dialysis transplantation,2020,,,resumen de congreso
