nct_id,arms,briefTitle,overallStatus,date,studyType,phases,count,conditions,interventions,name
NCT06827041,B_intervention_only,Use of Phage Therapy for Treatment of a Periprosthetic Joint Infection,ACTIVE_NOT_RECRUITING,2024-02-22,INTERVENTIONAL,PHASE1,1,Periprosthetic Joint Infection,Phage (Cytophage Technologies),Ottawa Hospital Research Institute
NCT06834984,B_intervention_only,"Ritual Synbiotic+, a Dietary Supplement Designed to Impact Gastrointestinal Health, Mood, and Behavior in Women",ACTIVE_NOT_RECRUITING,2025-05-01,INTERVENTIONAL,NA,60,Gastrointestinal Disease Symptoms,"Prebiotic, probiotic, postbiotic combination; Placebo",Colorado State University
NCT06870409,B_intervention_only,Bacteriophages in Addition to Antibiotics for the Treatment of Patients With Infective Endocarditis,RECRUITING,2025-02-05,INTERVENTIONAL,PHASE3,30,"Endocarditis, Bacterial",Bacteriophage,University Clinical Hospital na V.V.Vinogradov (branch of RUDN university na Patrice Lumumba)
NCT06931977,B_intervention_only,Natural Product System and Lifestyle Modification,COMPLETED,2025-04-29,INTERVENTIONAL,NA,97,Healthy,Supplement system + copaiba softgels; Supplement system + placebo softgels,dōTERRA International
NCT06938867,B_intervention_only,Phase 1b/2a Randomized Double-blind Study to Investigate Safety Tolerability PK PD Preliminary Efficacy of Oral Administration of SNIPR001 in Patients With Hematologic Malignancy Scheduled for Allogeneic Hematopoietic Stem-Cell Transplant Receiving FQ Prophylaxis & Harboring FQR Ecoli Pre-Transplant,RECRUITING,2025-02-25,INTERVENTIONAL,PHASE1; PHASE2,24,E Coli Infections; Allogenic Transplant Patients,SNIPR001 consists of genetically modified bacteriophages specifically targeting Escherichia coli; Placebo 10 mL,SNIPR Biome Aps.
NCT06942624,B_intervention_only,Phage Therapy for the Treatment of a Chronic Enterococcus Faecium Periprosthetic Joint Infection,NOT_YET_RECRUITING,2025-05,INTERVENTIONAL,PHASE1; PHASE2,1,Periprosthetic Joint Infection,Phage Therapy,Orthopaedic Innovation Centre
NCT06992726,B_intervention_only,Improvement of Fish Oil in Obesity With Mild Cognitive Impairment,NOT_YET_RECRUITING,2025-08-01,INTERVENTIONAL,PHASE4,88,Obesity; Mild Cognitive Impairment,Fish oil intervention; Placebo intervention,Weiwei Ma
NCT06998043,A_condition_and_intervention;B_intervention_only,Study With Phage for CF Subjects With Pseudomonas Lung Infection,RECRUITING,2025-07-02,INTERVENTIONAL,PHASE2,63,Chronic Pseudomonas Aeruginosa Infection; Cystic Fibrosis (CF),BX004; Placebo,BiomX Ltd
NCT07076238,B_intervention_only,Biomarkers of Phage Treatment Response in NTM and Other Infections,RECRUITING,2025-06-25,OBSERVATIONAL,,100,Nontuberculous Mycobacterial Lung Disease,Bacteriophage Treatment,NYU Langone Health
NCT07202234,B_intervention_only,Bacteriophage Cocktail Therapy for Multidrug-Resistant Gram-Negative Ventilator-Associated Pneumonia,NOT_YET_RECRUITING,2025-11-01,INTERVENTIONAL,NA,248,VAP - Ventilator Associated Pneumonia,Phage cocktail administered via nebulization; Nebulized normal saline inhalation therapy,Chinese PLA General Hospital
NCT07212400,B_intervention_only,Collection of Stool From Healthy Donors for the ex Vivo Study of Shifts of Microbiome Induced by Dairy Phages and Antibiotics: a Model of Bacteria/Host Interaction (DAIRY-SHAPE),RECRUITING,2025-10-16,OBSERVATIONAL,,4,General Population (no Specific Condition or Disease),,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement"
NCT07228702,B_intervention_only,Bacteriophage Therapy for Mycobacterium Abscessus Pulmonary Infection,ENROLLING_BY_INVITATION,2026-01-11,INTERVENTIONAL,PHASE1,1,Non-Tuberculous Mycobacterial (NTM) Pneumonia; Mycobacterium Abscessus Infection,Mycobacteriophage Muddy_HRMN0052; Amikacin Injection; Clofazimine; Bedaquiline (B); Linezolid (LZD); Sulfamethoxazole/Trimethoprim; Imipenem + Cilastatin; Ceftaroline fosamil; Omadacycline Oral Tablet,Vancouver Coastal Health
