nct_id,arms,briefTitle,overallStatus,date,studyType,phases,count,conditions,interventions,name
NCT04287478,B_intervention_only,Bacteriophage Therapy in Patients With Urinary Tract Infections,TERMINATED,2020-12-09,INTERVENTIONAL,PHASE1; PHASE2,1,Urinary Tract Infection Bacterial,Bacteriophage Therapy,"Adaptive Phage Therapeutics, Inc."
NCT04289948,B_intervention_only,Assessing the Efficacy of Anti-staphylococcal Phages in the Management of Infected Foot Ulcers in Diabetes,WITHDRAWN,2019-03-01,INTERVENTIONAL,PHASE1; PHASE2,0,Diabetes; Diabetic Foot; Diabetic Foot Infection,Phage,University Hospitals of Derby and Burton NHS Foundation Trust
NCT04323475,A_condition_and_intervention;B_intervention_only,Phage Therapy for the Prevention and Treatment of Wound Infections in Burned Patients,UNKNOWN,2022-01,INTERVENTIONAL,PHASE1,12,Wound Infection,Bacteriophage cocktail spray; Xeroform,"Precisio Biotix Therapeutics, Inc."
NCT04325685,B_intervention_only,The Effect of Supraglottic and Oropharyngeal Decontamination on the Incidence of Ventilator-associated Pneumonia,COMPLETED,2020-01-01,INTERVENTIONAL,NA,60,Trauma Injury; Brain Injuries; Abdominal Sepsis; Pancreatitis; Meningitis; Encephalitis; Seizures; Acute Respiratory Distress Syndrome,Control; Antiseptic Solution; Bacteriophage,Northern State Medical University
NCT04511221,B_intervention_only,BacterioPHAGE for Gastrointestinal Health 2 Study,COMPLETED,2018-10-01,INTERVENTIONAL,NA,93,Mild Gastrointestinal Symptoms in Healthy Adults,Bifidobacterium animals subsp. lactis BL04+PreforPro; Bifidobacterium animals subsp. lactis BL04; Placebo,Colorado State University
NCT04596319,A_condition_and_intervention;B_intervention_only,Ph 1/2 Study Evaluating Safety and Tolerability of Inhaled AP-PA02 in Subjects With Chronic Pseudomonas Aeruginosa Lung Infections and Cystic Fibrosis,COMPLETED,2020-12-22,INTERVENTIONAL,PHASE1; PHASE2,29,Cystic Fibrosis; Pseudomonas Aeruginosa; Pseudomonas; Lung Infection; Lung Infection Pseudomonal,AP-PA02; Placebo,"Armata Pharmaceuticals, Inc."
NCT04636554,A_condition_and_intervention;B_intervention_only,Personalized Phage Treatment in Covid-19 Patients With Bacterial Co-Infections Microbials for Pneumonia or Bacteremia/Septicemia,NO_LONGER_AVAILABLE,,EXPANDED_ACCESS,,,Covid19; Bacteremia; Septicemia; Acinetobacter Baumannii Infection; Pseudomonas Aeruginosa Infection; Staph Aureus Infection,Phage Therapy,"Adaptive Phage Therapeutics, Inc."
NCT04650607,B_intervention_only,Phage Safety Cohort Study,RECRUITING,2022-05-09,OBSERVATIONAL,,100,Prosthetic Joint Infection; Severe Infection,Adverse event after injection of phages,Hospices Civils de Lyon
NCT04682964,B_intervention_only,Bacteriophage Therapy in Tonsillitis,ACTIVE_NOT_RECRUITING,2020-10-02,INTERVENTIONAL,PHASE3,128,Acute Tonsillitis,Nebulizer inhalation irrigation of the mucous membranes of the tonsils with a bacteriophage.,"Tashkent State Medical University (Tashkent Pediatric Medical Institute), Uzbekistan"
NCT04684641,A_condition_and_intervention;B_intervention_only,CYstic Fibrosis bacterioPHage Study at Yale (CYPHY),COMPLETED,2021-03-29,INTERVENTIONAL,PHASE1; PHASE2,8,Cystic Fibrosis,Standard Dose YPT-01; Placebo,Yale University
NCT04708704,B_intervention_only,Photodegraded Edible Food Dyes,WITHDRAWN,2022-09-01,INTERVENTIONAL,NA,0,Thyroid; Functional Disturbance,"Erythrosine, prepared in drinking water (0.69 mg/kg bw/day); SODIS-treated erythrosine, prepared in drinking water (0.69 mg/kg bw/day); Iodine, prepared in drinking water 0.075 mg/kg bw/day)",Yale University
NCT04724603,B_intervention_only,Phage Safety Retrospective Cohort Study,RECRUITING,2021-02-01,OBSERVATIONAL,,25,Bone and Joint Infection; Prosthetic Joint Infection,patients having had avderse event after phagotherapy for bone or joint or implant infection,Hospices Civils de Lyon
NCT04737876,B_intervention_only,"A Study to Evaluate the Safety, Tolerability, and Fecal Pharmacokinetics of BX002-A in Healthy Adults",COMPLETED,2020-10-28,INTERVENTIONAL,PHASE1,18,Healthy Volunteers,BX002-A; Placebo,"BiomX, Inc."
NCT04787250,B_intervention_only,Bacteriophage Therapy in Patients With Prosthetic Joint Infections,WITHDRAWN,2022-10,INTERVENTIONAL,PHASE1; PHASE2,0,Prosthetic Joint Infection,Phage Therapy; Two-Stage Exchange Arthroplasty,"Adaptive Phage Therapeutics, Inc."
NCT04803708,A_condition_and_intervention;B_intervention_only,Bacteriophage Therapy TP-102 in Diabetic Foot Ulcers,COMPLETED,2021-03-22,INTERVENTIONAL,PHASE1; PHASE2,20,Diabetic Foot Ulcer; Pseudomonas Aeruginosa Infection; Staphylococcus Aureus Infection; Acinetobacter Infection,TP-102,"Technophage, SA"
NCT04815798,A_condition_and_intervention;B_intervention_only,Phage Therapy for the Prevention and Treatment of Pressure Ulcers.,UNKNOWN,2022-01,INTERVENTIONAL,PHASE1; PHASE2,69,Pressure Ulcer,Bacteriophage-loaded Microcapsule Spray; Placebo; Standard of Care,"Precisio Biotix Therapeutics, Inc."
NCT04923958,B_intervention_only,Rapid Research in Diagnostics Development for TB Network,RECRUITING,2021-04-14,INTERVENTIONAL,NA,26436,Tuberculosis,Novel mycobacterial culture techniques; Novel sputum smear microscopy techniques; Sputum-based molecular assays; Tongue swab-based molecular assays; Urine LAM assays; Blood-based host immune response assays; Breath-based assays; Artificial intelligence-based digital health tools; Phage-based assays; Cartridge-based molecular assays for detecting drug resistance; Sequencing-based assays for detecting drug resistance,"University of California, San Francisco"
NCT04935892,B_intervention_only,Slippers to Reduce Transfer From Floors to Surfaces,COMPLETED,2020-08-01,INTERVENTIONAL,NA,34,"Transmission, Other/Miscellaneous",Slippers,Louis Stokes VA Medical Center
NCT05010577,A_condition_and_intervention;B_intervention_only,Nebulized Bacteriophage Therapy in Cystic Fibrosis Patients With Chronic Pseudomonas Aeruginosa Pulmonary Infection,COMPLETED,2022-06-21,INTERVENTIONAL,PHASE1; PHASE2,43,Chronic Pseudomonas Aeruginosa Infection; Cystic Fibrosis,BX004-A; Placebo,"BiomX, Inc."
NCT05166096,B_intervention_only,"Comparative Pharmacokinetic, Pharmacodynamic, and Safety Study of 1 Dose Level of Aspirin for Injection and Oral Aspirin Tablets in Healthy Adult Human Subjects",COMPLETED,2021-12-03,INTERVENTIONAL,PHASE1,24,Healthy,Rho-11; aspirin 325mg,Rhoshan Pharmaceuticals Inc
NCT05177107,B_intervention_only,Bacteriophage Therapy in Patients With Diabetic Foot Osteomyelitis,TERMINATED,2021-11-24,INTERVENTIONAL,PHASE2,41,Osteomyelitis; Diabetic Foot Osteomyelitis,Bacteriophage Therapy; Placebo,"Adaptive Phage Therapeutics, Inc."
NCT05182749,B_intervention_only,"Safety and Efficacy of the Bacteriophage Preparation, ShigActive™, in a Human Experimental Model of Shigellosis",ACTIVE_NOT_RECRUITING,2023-02-23,INTERVENTIONAL,PHASE1; PHASE2,52,Shigellosis,bacteriophage; Placebo,"Intralytix, Inc."
NCT05184764,B_intervention_only,"Study Evaluating Safety, Tolerability, and Efficacy of Intravenous AP-SA02 in Subjects With S. Aureus Bacteremia",COMPLETED,2022-04-26,INTERVENTIONAL,PHASE1; PHASE2,56,Bacteremia; Staphylococcus Aureus; Staphylococcus Aureus Bacteremia; Bacteremia Staph; Bacteremia Due to Staphylococcus Aureus,AP-SA02; Placebo,"Armata Pharmaceuticals, Inc."
NCT05240300,B_intervention_only,A Study of Topical BX005-A in Subjects With Moderate to Severe Atopic Dermatitis,WITHDRAWN,2022-05,INTERVENTIONAL,PHASE1; PHASE2,0,Atopic Dermatitis,BX005-A; Placebo,"BiomX, Inc."
NCT05269121,B_intervention_only,Bacteriophage Therapy in First Time Chronic Prosthetic Joint Infections,WITHDRAWN,2022-09,INTERVENTIONAL,PHASE1; PHASE2,0,Prosthetic Joint Infection; Bacterial Infections,Phage Therapy,"Adaptive Phage Therapeutics, Inc."
NCT05269134,B_intervention_only,Bacteriophage Therapy in Patients With Prosthetic Joint Infections (PJI),WITHDRAWN,2023-03-27,INTERVENTIONAL,PHASE2,0,Prosthetic Joint Infection,Bacteriophage; Placebo,"Adaptive Phage Therapeutics, Inc."
NCT05272566,B_intervention_only,Prephage - Faecal Bacteriophage Transfer for Enhanced Gastrointestinal Tract Maturation in Preterm Infants - Donor Study,COMPLETED,2022-04-01,OBSERVATIONAL,,38,Feeding Patterns; Microbial Colonization,,"Rigshospitalet, Denmark"
NCT05272579,B_intervention_only,PrePhage - Faecal Bacteriophage Transfer for Enhanced Gastrointestinal Tract Maturation in Preterm Infants,RECRUITING,2023-11-07,INTERVENTIONAL,EARLY_PHASE1,20,Necrotizing Enterocolitis; Microbial Substitution,Fecal Filtrate Transfer; Placebo,"Rigshospitalet, Denmark"
NCT05277350,B_intervention_only,"A Study Investigating the Safety, Recovery, and Pharmacodynamics of Multiple Oral Administrations of SNIPR001 in Healthy Subjects",COMPLETED,2022-03-24,INTERVENTIONAL,PHASE1,36,E.Coli Infections; Bloodstream Infection,SNIPR001; Placebo,SNIPR Biome Aps.
NCT05314426,B_intervention_only,Mayo Clinic Phage Program Biobank,ENROLLING_BY_INVITATION,2022-04-19,OBSERVATIONAL,,100,Bacteriophage Therapy,,Mayo Clinic
NCT05369104,B_intervention_only,Phage Therapy in Prosthetic Joint Infection Due to Staphylococcus Aureus Treated With DAIR.,UNKNOWN,2022-06-15,INTERVENTIONAL,PHASE2,64,Infection of Total Hip Joint Prosthesis; Infection of Total Knee Joint Prosthesis,Anti-Staphylococcus aureus Bacteriophages,Phagenix
NCT05453578,A_condition_and_intervention;B_intervention_only,A Phase 1b/2 Trial of the Safety and Microbiological Activity of Bacteriophage Therapy in Cystic Fibrosis Subjects Colonized With Pseudomonas Aeruginosa,COMPLETED,2022-10-03,INTERVENTIONAL,PHASE1; PHASE2,73,Bacterial Disease Carrier; Cystic Fibrosis,Placebo; WRAIR-PAM-CF1,National Institute of Allergy and Infectious Diseases (NIAID)
NCT05457140,B_intervention_only,Multiomic Diagnostics in Youth With Psychosis,RECRUITING,2022-10-10,INTERVENTIONAL,NA,15,Psychosis,"Genetic: Genomic sequencing and molecular diagnostic results, if any.; Phage display ImmunoPrecipiation Sequencing (PhIP-Seq)",Rady Pediatric Genomics & Systems Medicine Institute
NCT05488340,B_intervention_only,A Study of LBP-EC01 in the Treatment of Acute Uncomplicated UTI Caused by Drug Resistant E. Coli (ELIMINATE Trial),RECRUITING,2022-07-13,INTERVENTIONAL,PHASE2,318,Urinary Tract Infections,LBP-EC01 0.1 x IV dose; LBP-EC01 0.01x IV Dose; LBP-EC01 IV Infusion Dose; Placebo; LBP-EC01; TMP/SMX,Locus Biosciences
NCT05498363,B_intervention_only,Bacteriophage Therapy of Difficult-to-treat Infections,COMPLETED,2008-01-01,OBSERVATIONAL,,100,Bacterial Infections,Bacteriophage therapy,Queen Astrid Military Hospital
NCT05537519,B_intervention_only,Phage Therapy for the Treatment of Urinary Tract Infection,UNKNOWN,2023-05-01,INTERVENTIONAL,PHASE1; PHASE2,1,Recurrent Urinary Tract Infection,Phage Therapy,Unity Health Toronto
NCT05590195,B_intervention_only,Effect of PreforPro® on Urinary and Vaginal Health,UNKNOWN,2024-05-01,INTERVENTIONAL,PHASE3,50,Bacterial Vaginosis; Bacterial Infections; Bacterial Vaginosis &#X7C; Vaginal &#X7C; Microbiology; Vaginal Infection,Preforpro; Placebo,Jeremy Burton
NCT05616221,A_condition_and_intervention;B_intervention_only,"Study to Evaluate the Safety, Phage Kinetics, and Efficacy of Inhaled AP-PA02 in Subjects With Non-Cystic Fibrosis Bronchiectasis and Chronic Pulmonary Pseudomonas Aeruginosa Infection",COMPLETED,2023-01-10,INTERVENTIONAL,PHASE2,48,Non-cystic Fibrosis Bronchiectasis; Pseudomonas Aeruginosa; Lung Infection,AP-PA02; Placebo,"Armata Pharmaceuticals, Inc."
NCT05618418,B_intervention_only,BActeriophages To Treat Liver Disease Eliminating Harmful Bacteria (BATTLE),UNKNOWN,2022-07-01,OBSERVATIONAL,,30,Alcoholic Hepatitis,No intervention,"Copenhagen University Hospital, Hvidovre"
NCT05715619,B_intervention_only,"Safety and Efficacy of Oral Administration of the Phage Cocktail, VRELysin™, In Healthy and VRE-Colonized Subjects",SUSPENDED,2023-10-25,INTERVENTIONAL,PHASE1; PHASE2,80,Vancomycin-Resistant Enterococcal Colonization,VRELysin™; Placebo,"Intralytix, Inc."
NCT05750433,B_intervention_only,Phage 3Determination of Phage/Probiotic Synergistic Effects on Gastrointestinal Health,COMPLETED,2021-10-01,INTERVENTIONAL,NA,120,Gastrointestinal Dysfunction,PreforPro+B. subtilis DE111 probiotics; Placebo; B. subtilis DE111,Colorado State University
NCT05883995,B_intervention_only,Avis-PHAGEinLYON Clinic,RECRUITING,2023-02-01,OBSERVATIONAL,,1500,Bone Infection,Phage therapy requests,Hospices Civils de Lyon
