registry,trial_id,title,sponsor,condition,start_date,title_truncated_by_register,url
EudraCT,2014-000714-65,Evaluation of phage therapy for the treatment of Pseudomonas aeruginosa wound infections in burned patients (Phase I-II clinical trial),Pherecydes Pharma SA,P. aeruginosa infected wound in burned patients.,2015-06-24,no,https://www.clinicaltrialsregister.eu/ctr-search/trial/2014-000714-65/
EudraCT,2022-003810-35,"A Phase 1b/2a, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate Nebulized Bacteriophage Treatment in Outpatient Adult Cystic Fibrosis (CF) Subjects with Chronic Pseudomon...",BiomX Ltd.,Cystic fibrosis Chronic Pseudomonas Aeruginosa Infection,2023-04-25,yes,https://www.clinicaltrialsregister.eu/ctr-search/trial/2022-003810-35/
EudraCT,2021-004469-11,"PhagoDAIR I: A Phase I/II Multicenter, Randomized, Double-Blind Study to Evaluate Efficacy and Safety of Phage Therapy in Patients with Hip or Knee Prosthetic Joint Infection due to Staphylococcus ...",PHERECYDES PHARMA,"knee or hip prosthetic joint infection (PJI) due to Staphylococcus aureus, with the indication of DAIR and Suppressive Antibiotics Therapy (SAT",2022-01-11,yes,https://www.clinicaltrialsregister.eu/ctr-search/trial/2021-004469-11/
